id,english_text,human_bengali_reference
597,"As of now, there's a two-year waiting list for this surgery.",এখন পর্যন্ত এই অস্ত্রপাচারের জন্য দুই বছরের অপেক্ষমান তালিকা আছে।
598,Below is a village. There are good people and I hate blood.,"এখানে থেকে দূরে এক গ্রাম আছে, তারা স্যাংভিনকে ঘৃণা করে."
599,"""While the harassment and ill-treatment of Baha'is continued uninterrupted during this period, they have been taken to new levels of intensity in recent years as certain elements that have historically been bent on the destruction of the Baha'i community have assumed growing influence in the affairs of the country,"" says the Baha'i International Community in the communication.","""বর্তমানে ইরানের বাহাইদের উপর হয়রানি এবং বাজে ব্যবহার আগের মতোই ধারবাহিকভাবে চলছে। সাম্প্রতিক বছরগুলোতে এই অত্যাচার এক নতুন মাত্রায় নিয়ে যাওয়া হয়। এই দেশটি ঐতিহাসিকভাবে বাহাইদের উপর চাপ প্রয়োগ অব্যাহত রেখেছে,"" চিঠিতে এই কথাগুলো উল্লেখ করে বাহাই সম্প্রদায়।"
600,"Then he was a clot of blood , so He created ( him ) then made ( him ) perfect .","তারপর সে হলো একটি রক ্ তপিন ্ ড , তারপর তিনি আকৃতি দান করলেন ও পূর ্ ণাঙ ্ গ করলেন ।"
601,♪ And Allah has increased their disease,"♪ আর আল্লাহ্‌ তাদের রোগকে আরো বৃদ্ধি করিয়া দেন,"
602,Lenchita was recently diagnosed with colon cancer.,সম্প্রতি তার কোলন (মলদ্বারের) ক্যান্সার ধরা পড়েছে।
603,"In the video, Dennis Kibira, the medicines advisor at HEPS Uganda, a health consumer organization that helps increase access to essential medicine in Uganda says:",ভিডিওটিতে উগান্ডাতে অত্যাবশ্যকীয় ওষুধ ব্যবহারের সুযোগ বৃদ্ধিতে সহায়তাকারী স্বাস্থ্য ভোক্তা সংগঠন হেপস উগাণ্ডার ওষুধপত্র উপদেষ্টা ডেনিস কিবরিয়া বলেছেন:
604,Why do “messages” have to be sealed with blood like this?,কেন “বার্তাগুলোকে” এভাবে রক্তে রঞ্জিত করা হয়?
605,I'm aiming to become a doctor of medicine,আমি চেষ্টা করছি... ...ঔষধের বৈদ্য হতে
606,"Now all we have left is hope, as in hope we don't end up in a public hospital needing treatment or God forbid hope we don't end up the victim of a crime.",আর এখন আমাদের কাছে শুধু থেকে গেছে এইটুকু আশা যেন আমাদের চিকিৎসার জন্য কোন সরকারী হাসপাতালে ভর্তি না হতে হয় বা ভগবান করুন আমরা যেন কোন অপরাধমূলক কাজের শিকার না হই।
607,Asked him to see a doctor so many times.,একজন ডাক্তার অনেক বার দেখতে ডেকে জিজ্ঞেস করলেন.
608,For the whole family this becomes a moment of pride when they sacrifice their own blood because due to her they earned dishonor.,"যে নারীর কারনে পরিবারটি অসম্মানিত হল, নিজেদের রক্ত হওয়া সত্ত্বেও তাঁকে উৎসর্গ করার এই মুহূর্তটি সমস্ত পরিবারটির জন্য গর্বের বিষয় হয়ে যায়।"
609,You guys really need a doctor.,তোমাদের সত্যিই ডাক্তার প্রয়োজন.
610,"A future free from wars, blood and disputes.","যুদ্ধ, রক্ত ও বিবাদ থেকে মুক্ত একটি ভবিষ্যত।"
611,"Last year, the Department of Health imposed a ban on the promotion and advertising of breast milk substitutes.",গত বছর স্বাস্থ্য অধিদপ্তর মাতৃদৃগ্ধের বিকল্প পণ্যগুলোর বিজ্ঞাপন ও প্রমোশন নিষিদ্ধ করে দিয়েছিল।
612,"No, doctor","না, ডাক্তার"
613,"The rockets fell on us as convoys of aid, fuel, medical supplies and food made their way across our border and into Gaza.","রকেট আমাদের উপরে পড়েছে যখন সাহায্য, জ্বালানী, চিকিৎসা সামগ্রী আর খাদ্য নিয়ে কনভয় যাচ্ছিল আমাদের সীমান্ত থেকে গাজাতে।"
614,"The Asian Dengue Vaccine, if made available next year, will be a big boost in the global campaign to eradicate dengue by year 2020.","আগামী বছর এশিয়ান ডেঙ্গু রোগের টীকা পাওয়া গেলে, ২০২০ বছরের মধ্যে বিশ্বব্যাপী ডেঙ্গু নির্মূলের ক্ষেত্রে একটি বড় ধরণের পদক্ষেপ ফেলা সম্ভব হবে।"
615,"Today, I realized yet again that the treatment I receive at my workplace is really acrimonious.",আজকে আমি আবারো বুঝেছি যে আমার কাজের জায়গায় আমার সাথে যে ব্যবহার করা হয় তা খারাপ।
616,She's lost too much blood. She can't keep going like this.,ও অনেক বেশি রক্ত হারিয়েছে
617,"This is to avoid wasting the little remaining currency in the shaky market by middlemen, instead of buying medicine.”",ঔষধ কেনার পরিবর্তে মধ্যস্বত্ত্বভোগীদের নিয়ন্ত্রিত বাজারে সামান্য অবশিষ্ট টাকা অপচয় এড়ানোর জন্যে এটা করতে হবে।
618,"150 students went to their small classes on that morning of 8th April 1970 without knowing that they would be immortalized along with with their school in the history of this nation as a deep sad wound called: Bahr El-Baqar Massacre. @waelragheb: I'll never forget, and I've never forgot what happened in Bahr El-Baqar. @Wild_atHeart: 41 years ago, and we will never forget #Israel's #massacre against 80 of our children. #Egypt #BahrElBaqar @AhmedShalaby: The class is over, collect your copybooks ... with the blood spilt on their pages!","৮ এপ্রিল, ১৯৭০ সালের এই দিনটির সকাল বেলা ১৫০ জন ছাত্র তাদের ক্ষুদ্র কামরার এক ক্লাশে গিয়েছিল এই বিষয়টি না জেনেই যে, জাতীর ইতিহাসে তারা তাদের স্কুলের নাম সহ ঢুকে যাবে, যে ইতিহাস হবে এক গভীর ক্ষত, যার নাম হবে বাহার এল-বাকার গণহত্যা। @ওয়াএলরাঘেব: ওয়াএলরাঘেব: আমি কখনোই ভুলবো না এবং বাহার এল-বাকার-এ, যা ঘটেছিল তা আমি কখনোই ভুলিনি।"
619,"""At present, the only way for medical marijuana to be properly evaluated by the FDA is for privately-funded sponsors to conduct FDA-approved clinical trials (like any other drug evaluation).","বর্তমানে চিকিৎসার জন্য মারিজুয়ানা ব্যবহার কেবল যথাযথভাবে সঠিক ভাবে মুল্যায়ন করার মাধ্যমে- যা ব্যাক্তিগত ভাবে অনুদানে পরিচালিত প্রতিষ্ঠিত এফডিএ দ্বারা পরীক্ষাগারে অনুমোদনের মাধ্যমে দেওয়া হয় (অন্য যে কোন ওষুধ এভাবে পরীক্ষা করার পর সরবরাহ করা হয়), যদি সিনেটর কোবার্নের উদ্দেশ্য হয় চিকিৎসাক্ষেত্রে মারিজুয়ানাকে কাজে লাগানো, তাহলে তাকে প্রথমে ড্রাগ এনফোর্সমেন্ট এডমিনিস্ট্রেশন (ডিইএ)-এর একচেটিয়া অধিকার বন্ধ করতে হবে।"
620,Plastic surgery in honor of your visit?,তোর আসার কথা শুনে কি ও প্লাষ্টিক সার্জারী করে নিয়েছে নাকি?
621,"If good befalls you , it grieves them , and if an evil afflicts you , they rejoice at it ; and if you are patient and guard yourselves , their scheme will not injure you in any way ; surely Allah comprehends what they do .","তোমাদের যদি কোন মঙ ্ গল হয় ; তাহলে তাদের খারাপ লাগে । আর তোমাদের যদি অমঙ ্ গল হয় তাহলে আনন ্ দিত হয় আর তাতে যদি তোমরা ধৈর ্ য ্ যধারণ কর এবং তাকওয়া অবলম ্ বন কর , তবে তাদের প ্ রতারণায় তোমাদের কোনই ক ্ ষতি হবে না । নিশ ্ চয়ই তারা যা কিছু করে সে সমস ্ তই আল ্ লাহর আয়ত ্ তে রয়েছে ।"
622,Madhavan's daughter will become a doctor after 2 years,মাধবের মেয়ে আর ২ বছর পর ডাক্তার হবে
623,"Franklin Brito, a Venezuelan farmer who had been on a hunger strike since July 2009, passed away from a respiratory arrest in a military hospital on Monday night.","ফ্রাঙ্কলিন ব্রিটো ভেনেজুয়েলার এক কৃষক, যিনি ২০০৯ সালের জুলাই মাস থেকে বিভিন্ন সময় ধরে অনশন ধর্মঘট করে আসছিলেন। তিনি সোমবার রাতে এক সামরিক হাসপাতালে শ্বাসযন্ত্রের ক্রিয়া বন্ধ হয়ে মৃত্যু বরণ করেন।"
624,And Ismail and Idris and Zulkifl ; all were of the patient ones ;,"এবং ইসমাঈল , ই ’ দ ্ রীস ও যুলকিফলের কথা স ্ মরণ করুন , তাঁরা প ্ রত ্ যেকেই ছিলেন সবরকারী ।"
625,"Then the doctor came down, too, to have a look...",সেই চিকিৎসক দেখার জন্য আবার নেমে আসেন .
626,"Well, say hello to the virus.","এই নাও, ভাইরাস হাজির।"
627,In the last few months there has been a storm brewing between different parties here in South Africa related to the public health care system.,গত কয়েক মাস ধরে একটা ঝড়ের উদ্ভব হয়েছে দক্ষিণ আফ্রিকার স্বাস্থ্য সেবা ক্ষেত্রের বিভিন্ন পক্ষের মধ্যে।
628,"If you're really not feeling well, dude, maybe you should, uh, go back to the States and see your doctor.","যদি তোমার ভালো না লাগে, হয়তো তোমার উচিত, দেশে ফিরে গিয়ে ডাক্তার দেখানো।"
629,Do you think this patient might have killed him?,আপনার কি মনে হয় তিনি রোগীর হাতে খুন হতে পারেন?
630,"What ! Do they , in whose hearts is a disease , fancy that Allah will not expose concealed enmities ?","অথবা , যাদের অন ্ তরে ব ্ যাধি রয়েছে তারা কি ভাবে যে আল ্ লাহ ্ কদাপি তাদের বিদ ্ বেষভাব প ্ রকাশ করবেন না ?"
631,(panting): What if he's in surgery?,যদি তার অপারেশন করতে হয়?
632,"According to the news, the high frequency of cancer has a lot to do with an unhealthy lifestyle, with the environment being one of the biggest threats to health.","সংবাদ প্রতিবেদন অনুযায়ী, ক্যান্সারে উচ্চ হার হওয়ার কারণ অস্বাস্থ্যকর জীবনযাপন। সাথে স্বাস্থ্যের সবচেয়ে বড়ো ঝুঁকি পরিবেশের দূষণ তো রয়েছেই।"
633,"Yeah, well, I was afraid your dad was gonna suck all the blood out of my body if I didn't say that.","হ্যাঁ, কেননা, আমি ভয় পচ্ছিলাম যদি আমি ওইরকম না বলতাম তাহলে তোমার বাবা আমার শরীর থেকে সব রক্ত চুষে নিতো।"
634,"You might not have my name, but you have my blood.","আমার নাম হয়তো তুমি পাওনি, কিন্তু তোমার শিরায় আমার রক্ত বইছে।"
635,Please inform your nearest Dr about sick monks in order to visit them for treatment.,তোমার কাছের ডাক্তারদের আহত ভিক্ষুদের কথ্যগুলো জানাও যাতে তারা তাদের কাছে গিয়ে শুশ্রূষা করতে পারে।
636,There's... no treatment even if I send her there.,শোণ ... আমি যদি তাকে সেখানে পাঠাইও তারা তার কোন চিকিৎসা করতে পারবে না।
637,"China's Ministry of Health (MOH) has confirmed the open secret that most of the organs used in transplant surgeries are harvested from death row inmates in China, in a group meeting of the Chinese People's Political Consultative Conference (CPPCC) held on March 7, 2012.",চীনের স্বাস্থ্য মন্ত্রণালয় (এমওএইচ) নিশ্চিত করেছে যে চীনে এখন প্রকাশ্যে মৃত নাগরিকদের শরীরের অঙ্গ প্রত্যঙ্গ অন্যের শরীরের ব্যবহার করা হচ্ছে।
638,"Holmes, as your doctor...","হোমস , তোমার ডক্টর হিসেবে ..."
639,I had to pick up my brother at the hospital and drive him home.,আমার ভাইকে হাসপাতাল থেকে নিয়ে বাড়িতে পৌঁছে দিতে হয়েছিল।
640,"You know how they say ""cancer"" in Spanish?","স্প্যানিশে তার কিভাবে ক্যান্সার বলে, জানো?"
641,Hundreds of people gathered outside the Shaukat Khanum Hospital where Imran Khan was being treated.,যেখানে ইমরান খানের চিকিৎসা হচ্ছে সেই শওকত খানম মেমোরিয়াল হাসপাতালের বাইরে শত শত মানুষ জড়ো হয়েছে।
642,I needed some medicine.,আমার শুধু কিছু মেডিসিনের প্রয়োজন ছিল
643,A doctor's mask.,ডাক্তারদের মুখোশ।
644,"Outrage over the callousness of hospitals refusing life-saving, emergency treatment isn't new.",মৃত্যুপথযাত্রী রোগীদের চিকিৎসা দিতে না চাওয়ার ঘটনা বাংলাদেশে নতুন নয়।
645,"Abortion is permitted if a woman is raped, if the pregnancy affects her health or if the fetus is abnormal.","যদি কোন মেয়ে ধর্ষণের ফলে গর্ভবতী হয়ে পড়ে, যদি গর্ভ ধারণ প্রসূতির স্বাস্থ্যের ক্ষেত্রে প্রভাব সৃষ্টি করে অথবা যদি ভ্রূণের অবস্থা অস্বাভাবিক হয়, তাহলে থাইল্যান্ডে কেবল গর্ভপাতের অনুমতি প্রদান করা হয়।"
646,"I don’t think I ever mentioned it here, but we lost our father three years ago to liver cancer as well.","আমি মনে করি না আমার এখানে এই বিষয়টি উল্লেখ করার দরকার ছিল, কিন্তু তিন বছর আগে লিভার ক্যান্সারে আমরা আমাদের পিতাকে হারিয়েছি।"
647,"Yes, doctor?","হ্যাঁ, ডাক্তার?"
648,- Call the doctor,- ডাক্তার ডাকো।
649,We just need to give some thought to our health and eat a bit less.”,আমাদের স্বাস্থ্য নিয়ে খানিকটা চিন্তা করতে হবে এবং পরিমাণে খানিকটা কম খেতে হবে”।
650,that thirsted for my blood.,[ গাড়ির হর্ন ] যেটা আমার রক্তকে আকৃষ্ট করেছিল.
651,"But also to the hospital staff, police, rescue workers etc have had their more than their share, of injuries and deaths to deal with all after all they went through after the tsunami…",এছাড়াও দমকল বাহিনী ও হাসপাতালের কর্মী বা পুলিশ যারাই এ দুর্যোগ মোকাবেলা করছেন তাদের জন্যেও। বিশেষ করে সুনামির দুর্যোগের ধকল কাঁটতে না কাঁটতে তাদের জন্যে আসলো আবার এই দুর্যোগ।
652,Now it’s not really clear as Pakistani authorities lashed at the Patterson or Anne dear spewed venom at the Pakistani authorities for not giving enough blood to spill in Angoor Adda.”,এখনও এটি সত্যি পরিস্কার নয় যে পাকিস্তানি কর্তৃপক্ষ প্যাটারসনের কাছে অভিযোগ করেছে নাকি তিনি পাকিস্তানিদের ভৎসর্ণা করেছে অ্যাঙ্গুর আড্ডায় বেশী রক্ত বয়ে যায়নি এই জন্যে।
653,"The first symptoms of this disease is the continuous nodding of the head, failure to eat and drink.","এই রোগের প্রথম লক্ষণ হল ক্রমাগত মাথা ঝিমঝিম করা, খেতে ও পান করতে অক্ষম হওয়া।"
654,"Their flesh reacheth not Allah nor their blood : but it is Piety from you that reacheth Him . Thus He hath subjected them to you , that ye may magnify Allah for He hath guided you ; and bear thou glad tidings unto the welldoers .","এগুলোর গোশত ও রক ্ ত আল ্ লাহর কাছে পৌঁছে না , কিন ্ তু পৌঁছে তাঁর কাছে তোমাদের মনের তাকওয়া । এমনিভাবে তিনি এগুলোকে তোমাদের বশ করে দিয়েছেন , যাতে তোমরা আল ্ লাহর মহত ্ ত ্ ব ঘোষণা কর এ কারণে যে , তিনি তোমাদের পথ প ্ রদর ্ শন করেছেন । সুতরাং সৎকর ্ মশীলদের সুসংবাদ শুনিয়ে দিন ।"
655,"Iranian media reported that the lions were put down because they were diagnosed with an infectious bacterial disease, glanders, which is more commonly found in horses, donkeys, and mules.",ইরানের মিডিয়া জানাচ্ছে যে গ্ল্যান্ডার্স বলে একটি ব্যাকটেরিয়া জনিত সংক্রামক রোগ ধরা পড়াতে সিংহগুলোকে হত্যা করা হয়েছে।
656,& Anti-Virus Wizard...,বার্তা সন্ধান করো
657,"It wouldn't be like drinking your blood, for instance.",ঠিক আছে এটা তোমাদের ড্রিঙ্কের মত নয় আমি শুধু উদাহরন দিচ্ছি.
658,"There were appeals via Facebook to donate blood, and many rushed to donate blood in Savar and elsewhere.",ভবন ধসের ঘটনায় জাতীয় শোক ঘোষণা করেছে সরকার। এদিকে ফেসবুকে আহতদের চিকিত্সায় রক্ত দেয়ার অনেককে আহবান জানাতে দেখা গেছে।
659,- I gotta get you to a doctor.,তোমাকে ডাক্তারের কাছে নিয়ে যেতে হবে।
660,Their sense of assurance ended on December 6th when the first swine flu patient died in Gaza.,সে সময় গাজায় প্রথম এক ব্যক্তি সোয়াইন ফ্লুতে আক্রান্ত হয়ে মারা।
661,"And when We took compact with you : ' You shall not shed your own blood , neither expel your own from your habitations ' ; then you confirmed it and yourselves bore witness .","আর স ্ মরণ করো ! আমরা তোমাদের অঙ ্ গীকার গ ্ রহণ করেছিলাম -- “ তোমরা তোমাদের রক ্ তপাত করবে না আর তোমাদের লোকদের তোমাদের বাড়িঘর থেকে বের করে দেবে না । ” তখন তোমরা প ্ রতিজ ্ ঞা করেছিলে , আর তোমারা সাক ্ ষ ্ য দিয়েছিলে ।"
662,"Merchants stepped in to help people get their prevention tools, but in fact they were benefiting from the panic and ignorance – a general lack of information about the virus.","ব্যবসায়ীরা এই ভাইরাস প্রতিরোধক উপাদান সরবরাহ করছে, তবে তারা প্রকৃতপক্ষে এই আতঙ্ক এবং এই রোগ সম্বন্ধে যে সাধারণ অজ্ঞতা, তার বাণিজ্যিক ফায়দা লুটছে।"
663,"Normally, the tumors start resisting the treatment... and that hasn't happened here...",এমনিতে টিউমার চিকিৎসায় বাধা দেয়... আর সেটা এক্ষেত্রে ঘটেনি...
664,"So We let loose on them floods and locusts , and vermin , frogs and blood -- how many different signs . But they still remained arrogant , for they were a people full of sin .","সুতরাং আমি তাদের উপর পাঠিয়ে দিলাম তুফান , পঙ ্ গপাল , উকুন , ব ্ যাঙ ও রক ্ ত প ্ রভৃতি বহুবিধ নিদর ্ শন একের পর এক । তারপরেও তারা গর ্ ব করতে থাকল । বস ্ তুতঃ তারা ছিল অপরাধপ ্ রবণ ।"
665,"Two groups in Madagascar are particularly vulnerable in terms of public health: children younger than five, and pregnant women.",গণ স্বাস্থ্যের প্রেক্ষাপটে মাদাগাস্কারে দুটি গ্রুপ বিশেষ করে বেশি ঝুঁকির মুখেঃ এরা হল পাঁচ বছরের কম বয়সী শিশু এবং গর্ভবতী নারী।
666,"Let's get this soldier to a hospital tent, right now.",ওকে এখুনি হাসপাতালে নিয়ে যাও।
667,It's Lou Gehrig's disease. He was a baseball player.,"এটা তো লাউ গেরিগ এর রোগ, সে একজন বেসবল খেলোয়াড়।"
668,The Shona say the color comes from all the blood that's being spilled fighting over the land.,শোনা বলে যে এই রঙ এসেছে ঐ রক্তের থেকে... ...যেগুলো যুদ্ধের সময় এইখানে বয়ে গিয়েছিল.
669,Those who are patient and on their Lord do they rely .,যারা দৃঢ়পদ রয়েছে এবং তাদের পালনকর ্ তার উপর ভরসা করেছে ।
670,By blood un...,রক্তপাতেই --
671,Occpy Tahrir shares this photograph of a weeping doctor at one of the field hospitals set up to treat the injured,"অকুপাই তাহরির এই ছবিটি প্রদর্শন করেছে, যেখানে দেখা যাচ্ছে আহতদের চিকিৎসার জন্য তৈরি করা একটি অস্থায়ী হাসপাতালে একজন ডাক্তার কাঁদছেন।"
672,"If you remain patient and God-fearing , and the enemy should fall upon you all of a sudden , Your Lord will reinforce you with five thousand angels clearly marked ! ""","''যথার্থ! যদি তোমরা ধৈর্যশীল ও ধর্মপরায়ণ হও, আর তারা তোমাদের উপরে এসে পড়ে প্রবল বেগে, -- তোমাদের প্রভু তোমাদের সাহায্য করেছিলেন প্রচন্ড আঘাতকারী পাঁচ হাজার ফিরিশ্‌তাদের দিয়ে।’’"
673,"This is the patient I told you about, we are going to Muðla.","এই হল সেই, যার কথা আপনাকে বলছিলাম। এর কাছেই আমরা যাব।"
674,"The patient , and the truthful , and the reverent , and the charitable , and the seekers of forgiveness at dawn .","''ধৈর্যশীল, আর সত্যপরায়ণ আর অনুগত, আর দানশীল, আর প্রাতে পরিত্রাণ প্রার্থী।’’"
675,"O you who believe ! Be patient , and advocate patience , and be united , and revere God , so that you may thrive .",হে ঈমানদানগণ ! ধৈর ্ য ্ য ধারণ কর এবং মোকাবেলায় দৃঢ়তা অবলম ্ বন কর । আর আল ্ লাহকে ভয় করতে থাক যাতে তোমরা তোমাদের উদ ্ দেশ ্ য লাভে সমর ্ থ হতে পার ।
676,"The new treatment, it's not working.",নতুন সেই ওষুধটাতেও কাজ হচ্ছে না।
677,Patient diagnosis,পেশেন্ট ডায়াগনোসিস
678,"Not your cancer story, your real story.",তোমার ক্যান্সারের গল্প না । আসল 'তোমার' গল্প
679,And you're certain you're related by blood?,ছেলেটা সত্যিই তোমার আত্মীয়?
680,We're taking you to the hospital right now!,আমারা তোমাকে এখন হাসপাতালে নিয়ে যাচ্ছি।
681,What about the blood result?,রক্ত পরীক্ষার কী খবর ?
682,"If He wills , He causes the wind to cease , then they would become motionless on the back ( of the sea ) . Verily , in this are signs for everyone patient and grateful .","তিনি ইচ ্ ছা করলে বাতাসকে থামিয়ে দেন । তখন জাহাজসমূহ সমুদ ্ রপৃষ ্ ঠে নিশ ্ চল হয়ে পড়ে যেন পাহাড় । নিশ ্ চয় এতে প ্ রত ্ যেক সবরকারী , কৃতজ ্ ঞের জন ্ যে নিদর ্ শনাবলী রয়েছে ।"
683,"Two weeks back Mary had a fever, on testing the blood","দু'সপ্তাহ আগে মেরির হঠাৎ করেই জ্বর আসে, রক্ত পরিক্ষা করে জানা গেলো"
684,created man from a clot [ of blood ] .,সৃষ ্ টি করেছেন মানুষকে জমাট রক ্ ত থেকে ।
685,"I've informed the doctor, as you said.",তোমার কথামতো ডাক্তারকে এখানে আসতে বলেছি।
686,"In light of all that paranoia, the claims made by scientists in Kazakhstan that the country can quickly develop a vaccine for the Ebola disease might be seen as an example of positive thinking, but Kazakh netizens have torn the boasts to pieces.","তবে এ ধরনের ভ্রমগ্রস্ত অবস্থার মাঝেও ইবোলা নিয়ে ইতিবাচক চিন্তাভাবনা করেছেন কাজাখস্তানের বিজ্ঞানীরা। তারা দাবি করেছেন, খুব দ্রুতই তারা ইবোলার ভ্যাকসিন আবিস্কার করতে পারবেন। তবে কাজাখ নেটিজেনরা বিজ্ঞানীদের বক্তব্য খণ্ডনের চেষ্টা করেছেন।"
687,"Until recently, his shows in Argentina attracted multitudes, but he retired from the scene because of health issues.","সাম্প্রতিক সময় পর্যন্ত তার প্রদর্শনী অর্জেন্টিনায় নানাজনকে আকর্ষণ করছে, কিন্তু মৃত্যুর আগে স্বাস্থ্যগত কারণে তিনি এসব অনুষ্ঠান করা ছেড়ে দেন।"
688,Or that He may catch them with gradual wasting ( of their wealth and health ) . Truly !,"অথবা তাদের তিনি পাকড়াবেন না ভয়ভীতি দিয়ে ? সুতরাং তোমাদের প ্ রভু নিশ ্ চয়ই তো পরম স ্ নেহময় , অফুরন ্ ত ফলদাতা ।"
689,"The business monopoly of all the pharmas, medical colleges and hospitals lies with him.",ঔষধ শিল্পের মাফিয়া হচ্ছেন উনি। সব মেডিক্যাল কলেজ এবং হাসপাতাল গুলো ওষুধের জন্য বাধ্য হয়ে তার ওপরই নির্ভর করতে হয়।
690,"They smell blood, they'll come swimming.",রক্তের গন্ধে ছুঁটে আসে।
691,- He has plastic surgery every three years.,- প্রত্যকে তিন বছরের সে মুখে প্ল্যাস্টিক সার্জারি করে.
692,Help cover the scent of blood from sores in his mouth that will never heal.,যেটা তাঁর মুখ-পচা রক্তের গন্ধ কে ঢাকতে পারে
693,The patient was transferred to United Hospital from another hospital on July 3 with cardiac problems and multi-organ failure and was under treatment in the coronary care unit.,উক্ত রোগীকে গত ৩রা জুলাই হৃদযন্ত্রের সমস্যা এবং মাল্টি অর্গান ফেইলিউর এর কারণে উন্নত চিকিৎসার জন্যে ল্যাব এইড হাসপাতাল থেকে ইউনাইটেড হাসপাতালে ভর্তি করা হয় এবং সেখানের করনারি কেয়ার ইউনিটে চিকিৎসা নিচ্ছিলেন।
694,"Meanwhile, the fate of the proposed zones remains uncertain: although the Minister of Health stated that he was considering restrictions on alcohol consumption in July 2014, more recent reports suggest that many MPs do not see reforming alcohol laws as a priority.","কোন কোন এলাকায় নারীদের জন্য মদ্যপান নিষিদ্ধ করা হবে তা এখনো অনিশ্চিত। তবে স্বাস্থ্যমন্ত্রী মদ্যপান কমিয়ে আনার জন্য বিধিনিষেধ আরোপের কথা চিন্তাভাবনা করছেন। সাম্প্রতিক বিভিন্ন প্রতিবেদনে বলা হয়েছে, মিয়ানমারের অনেক সংসদ সদস্য মদ্যপান আইনকে অগ্রাধিকার দিচ্ছেন না।"
695,Harry Faisal suffered from chikungunya and writes in Facebook about the unbearable disease:,চিকনগুনিয়ায় আক্রান্ত হ্যারি ফয়সাল ফেসবুকে লিখেছেন:
696,Take me to the hospital now.,-হাসপাতালে নিয়ে চল
697,Anti-retroviral therapy along with anti-tuberculosis treatment is the only available treatment in present time.,এই দুই রোগের ক্ষেত্রে বর্তমানে রিট্রোভাইরাল থেরাপি এবং যক্ষা প্রতিরোধী চিকিৎসা কেবল সহজলভ্য।
698,“ And what is the matter with us that we should not rely on Allah ? He has in fact shown us our ways ; and we will surely be patient upon the troubles you cause us ; and those who trust must rely only upon Allah . ”,"''আর আমাদের কি কারণ থাকতে পারে যে আমরা আল্লাহ্‌র উপরে নির্ভর করব না, অথচ তিনিই তো আমাদের চালিত করেছেন আমাদের পথে? আর আমরা নিশ্চয়ই অধ্যবসায় অবলন্বন করব তোমরা আমাদের যা ক্লেশ দিচ্ছ তা সত্ত্বেও। আর আল্লাহ্‌র উপরেই তবে নির্ভর করুক নির্ভরকারীরা।’’"
699,My health is fine and I filed a police report,আমি এখন ভালো আছি। পুলিশের কাছে অভিযোগ দাখিল করেছি।
700,"He has forbidden you only carrion , blood and the flesh of swine ; also any [ flesh ] consecrated in the name of any but God . But if anyone is forced by dire necessity , not desiring it or exceeding his immediate need , God is forgiving and merciful towards him .","নিঃসন ্ দেহ তিনি তোমাদের জন ্ য অবৈধ করেছেন যা নিজে মরে , ও রক ্ ত , ও শূকরের মাংস , আর যা হালাল করা হয়েছে তার উপরে আল ্ লাহ ্ ‌ র নাম ছাড়া , কিন ্ তু যে কেউ চাপে পড়েছে , অবাধ ্ য না হয়ে বা মাত ্ রা না ছাড়িয়ে , তবে আল ্ লাহ ্ নিঃসন ্ দেহ পরিত ্ রাণকারী , অফুরন ্ ত ফলদাতা ।"
701,"The doctor says, ""Five.""","ডাক্তার বলে, ৫।"
702,Blood and anger has become their cards #Myanmar,রক্ত এবং ক্ষোভ হচ্ছে তাদের তুরুপের তাস। #মায়ানমার
703,"Have you had surgery, Miss Domergue?","আপনি কখনো সার্জারি করেছেন, মিস ডোমার্গ?"
704,"Iraqi Layla Anwar too is incensed at the way this topic is ""broached"" in the Arab world - despite the increasing incidence of the disease in the region.",ইরাকী লায়লা আনোয়ার আরব বিশ্বে এ রোগের সম্প্রসারণ ঘটতে থাকলেও অনুল্লেখ্য আলোচনার জন্য ক্ষুব্ধ মতামত প্রকাশ করেছেন।
705,It is not their meat or blood that reaches God : It is the fealty of your heart that reaches him . That is why He has subjugated them to you that you may glorify God for having shown you the way .,"তাদের মাংস কখনো আল ্ লাহ ্ ‌ র কাছে পৌঁছায় না আর তাদের রক ্ তও নয় , বরং তোমাদের থেকে ধর ্ মনিষ ্ ঠাই তাঁর কাছে পৌঁছায় । এইভাবেই তিনি তাদের তোমাদের অধীন করে দিয়েছেন যেন তোমরা আল ্ লাহ ্ ‌ র শ ্ রেষ ্ ঠত ্ ব ঘোষণা করতে পারো এজন ্ য যে তিনি তোমাদের পথ দেখিয়ে দিয়েছেন । আর সুসংবাদ দাও সৎকর ্ মপরায়ণদের ।"
706,Because of an uterus disease,জরায়ুর একটা রোগই এর কারণ
707,If Coleman Reese isn't dead in 60 minutes then I blow up a hospital.,যদি 60 মিনিটের মধ্যে কেউ কোলম্যান রিজকে খুন না করে... ...তাহলে আমি একটা হসপিটাল উড়িয়ে দিব.
708,"Many from the community and other activists are placing blame on the Canadian open-pit mining company, Goldcorp for the health problems.",এই ঘটনার জন্য আদিবাসী সম্প্র্রদায় ও অনেক অ্যাকটিভিস্ট (সক্রিয় কর্মী) কানাডিয় কয়লা উত্তোলনকারী প্রতিষ্ঠান গোল্ডকপর্কে দায়ী করছে।
709,If they get to know that it is a discovery of our country all the medical industries across the globe will bow before us.,যদি দুনিয়া একবার আমাদের আবিষ্কার সম্পর্কে জানে... বিশ্বের প্রতিটা মেডিক্যাল ইন্ড্রাস্ট্রি তখন আমাদের নিকট মাথা নত করবে!
